rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor
RGI60-06.00064,2010-01-01_2020-01-01,766000.0,-0.5022,0.3152,6,False
RGI60-06.00065,2000-01-01_2010-01-01,96000.0,0.0602,0.5197,6,False
RGI60-06.00065,2000-01-01_2020-01-01,96000.0,0.2511,0.2808,6,False
RGI60-06.00065,2010-01-01_2020-01-01,96000.0,0.4421,0.5233,6,False
RGI60-06.00066,2000-01-01_2010-01-01,852000.0,0.3464,0.3108,6,False
RGI60-06.00066,2000-01-01_2020-01-01,852000.0,-0.1816,0.1579,6,False
RGI60-06.00066,2010-01-01_2020-01-01,852000.0,-0.7095,0.3076,6,False
RGI60-06.00067,2000-01-01_2010-01-01,2275000.0,-0.1523,0.2682,6,False
RGI60-06.00067,2000-01-01_2020-01-01,2275000.0,-0.0955,0.1403,6,False
RGI60-06.00067,2010-01-01_2020-01-01,2275000.0,-0.0386,0.2641,6,False
RGI60-06.00068,2000-01-01_2010-01-01,318000.0,0.323,0.4018,6,False
RGI60-06.00068,2000-01-01_2020-01-01,318000.0,-0.0088,0.2136,6,False
RGI60-06.00068,2010-01-01_2020-01-01,318000.0,-0.3405,0.3893,6,False
RGI60-06.00069,2000-01-01_2010-01-01,1216000.0,-0.112,0.2988,6,False
RGI60-06.00069,2000-01-01_2020-01-01,1216000.0,-0.1129,0.1612,6,False
RGI60-06.00069,2010-01-01_2020-01-01,1216000.0,-0.1138,0.3076,6,False
RGI60-06.00070,2000-01-01_2010-01-01,380000.0,0.4887,0.3691,6,False
RGI60-06.00070,2000-01-01_2020-01-01,380000.0,0.0249,0.1769,6,False
RGI60-06.00070,2010-01-01_2020-01-01,380000.0,-0.4389,0.344,6,False
RGI60-06.00071,2000-01-01_2010-01-01,2152000.0,0.2916,0.2744,6,False
RGI60-06.00071,2000-01-01_2020-01-01,2152000.0,0.0412,0.1453,6,False
RGI60-06.00071,2010-01-01_2020-01-01,2152000.0,-0.2093,0.2845,6,False
RGI60-06.00072,2000-01-01_2010-01-01,522000.0,0.3407,0.3438,6,False
RGI60-06.00072,2000-01-01_2020-01-01,522000.0,-0.0102,0.1745,6,False
RGI60-06.00072,2010-01-01_2020-01-01,522000.0,-0.361,0.3086,6,False
RGI60-06.00073,2000-01-01_2010-01-01,53000.0,-0.1168,0.6604,6,False
RGI60-06.00073,2000-01-01_2020-01-01,53000.0,0.2174,0.362,6,False
RGI60-06.00073,2010-01-01_2020-01-01,53000.0,0.5517,0.7021,6,False
RGI60-06.00074,2000-01-01_2010-01-01,1897000.0,-0.1228,0.301,6,False
